                      Texto 1   Texto 2   Texto 3
lenguaje             0.000000  0.301030  0.000000
levantarlos          0.000000  0.301030  0.000000
liberado             0.000000  0.301030  0.000000
liberaron            0.000000  0.301030  0.000000
librer               0.301030  0.000000  0.000000
libros               0.301030  0.000000  0.000000
literaria            0.000000  0.301030  0.000000
literario            0.000000  0.477121  0.000000
llamar               0.000000  0.301030  0.000000
llegar               0.301030  0.000000  0.000000
llena                0.000000  0.301030  0.000000
llenaban             0.301030  0.000000  0.000000
llenas               0.301030  0.000000  0.000000
lleno                0.000000  0.301030  0.000000
llev                 0.301030  0.000000  0.000000
llorar               0.301030  0.000000  0.000000
lo                   0.602060  0.477121  0.602060
logra                0.000000  0.000000  0.301030
los                  0.954243  0.845098  1.000000
luego                0.000000  0.301030  0.000000
lugar                0.000000  0.301030  0.000000
m                    0.903090  0.602060  0.477121
ma                   0.301030  0.000000  0.000000
madre                0.477121  0.000000  0.000000
madres               0.477121  0.000000  0.000000
maestra              0.301030  0.000000  0.000000
maestras             0.301030  0.000000  0.000000
maestro              0.778151  0.000000  0.000000
mala                 0.301030  0.000000  0.301030
maldonado            0.000000  0.477121  0.000000
maliciosos           0.000000  0.301030  0.000000
mam                  0.301030  0.000000  0.000000
manera               0.000000  0.000000  0.602060
mano                 0.477121  0.000000  0.000000
manuel               0.000000  0.301030  0.000000
marchaban            0.301030  0.000000  0.000000
marzo                0.000000  0.301030  0.000000
materializa          0.000000  0.301030  0.000000
me                   1.113943  0.000000  0.000000
medicamentos         0.000000  0.301030  0.000000
medito               0.000000  0.301030  0.000000
mejor                0.000000  0.301030  0.477121
melancol             0.000000  0.301030  0.000000
mencionados          0.301030  0.000000  0.000000
menes                0.301030  0.000000  0.000000
menguado             0.000000  0.301030  0.000000
mensuales            0.301030  0.000000  0.000000
mente                0.000000  0.301030  0.000000
mercado              0.000000  0.000000  0.301030
meses                0.477121  0.000000  0.000000
mezquite             0.000000  0.301030  0.000000
mi                   0.845098  0.000000  0.000000
mico                 0.000000  0.000000  0.301030
