                      Texto 1   Texto 2   Texto 3
florecen             0.000000  0.143628  0.000000
forma                0.000000  0.143628  0.000000
frente               0.143628  0.000000  0.000000
frescas              0.000000  0.143628  0.000000
frontera             0.000000  0.143628  0.000000
frutas               0.000000  0.000000  0.227645
fue                  0.000000  0.143628  0.000000
fuera                0.000000  0.000000  0.143628
fueron               0.143628  0.000000  0.000000
fuerza               0.143628  0.000000  0.000000
fuerzas              0.000000  0.143628  0.000000
funci                0.000000  0.143628  0.000000
galaz                0.000000  0.143628  0.000000
gana                 0.143628  0.000000  0.000000
gaseosas             0.000000  0.000000  0.143628
gastaba              0.000000  0.143628  0.000000
gent                 0.143628  0.000000  0.000000
gente                0.143628  0.000000  0.000000
glic                 0.000000  0.000000  0.143628
glucosa              0.000000  0.000000  0.227645
golpecito            0.143628  0.000000  0.000000
gordos               0.143628  0.000000  0.000000
gran                 0.143628  0.000000  0.000000
gris                 0.143628  0.000000  0.000000
guardias             0.143628  0.000000  0.000000
gustado              0.143628  0.000000  0.000000
ha                   0.143628  0.000000  0.000000
hab                  0.084017  0.084017  0.000000
habla                0.000000  0.143628  0.000000
hablaban             0.143628  0.000000  0.000000
harinas              0.000000  0.000000  0.143628
has                  0.000000  0.143628  0.000000
hasta                0.000000  0.000000  0.143628
hay                  0.000000  0.000000  0.143628
he                   0.143628  0.000000  0.000000
hermanito            0.143628  0.000000  0.000000
hermanos             0.000000  0.143628  0.000000
hicieron             0.143628  0.000000  0.000000
hijos                0.143628  0.000000  0.000000
hombres              0.000000  0.143628  0.000000
hombro               0.143628  0.000000  0.000000
hormigueaban         0.143628  0.000000  0.000000
hormona              0.000000  0.000000  0.143628
humano               0.000000  0.143628  0.000000
humanos              0.000000  0.143628  0.000000
humedad              0.000000  0.143628  0.000000
iba                  0.143628  0.000000  0.000000
iban                 0.143628  0.000000  0.000000
idea                 0.000000  0.000000  0.227645
ideal                0.000000  0.000000  0.143628
ignoramos            0.000000  0.143628  0.000000
ignoran              0.000000  0.227645  0.000000
imagen               0.000000  0.143628  0.000000
importancia          0.000000  0.000000  0.143628
imposible            0.000000  0.000000  0.143628
imposibles           0.000000  0.143628  0.000000
incluir              0.000000  0.000000  0.227645
ines                 0.143628  0.000000  0.000000
inmortales           0.000000  0.333493  0.000000
inscribirme          0.143628  0.000000  0.000000
instintos            0.000000  0.143628  0.000000
insulina             0.000000  0.000000  0.227645
insulinodependiente  0.000000  0.000000  0.143628
integrales           0.000000  0.000000  0.227645
introduc             0.143628  0.000000  0.000000
introducci           0.000000  0.000000  0.143628
is                   0.053009  0.053009  0.000000
jovial               0.143628  0.000000  0.000000
juntos               0.143628  0.000000  0.000000
l                    0.143628  0.000000  0.000000
la                   0.000000  0.000000  0.000000
lado                 0.000000  0.000000  0.227645
largo                0.000000  0.143628  0.000000
las                  0.000000  0.000000  0.000000
le                   0.053009  0.084017  0.000000
lecciones            0.143628  0.000000  0.000000
lector               0.000000  0.000000  0.143628
leer                 0.143628  0.000000  0.000000
lenguaje             0.000000  0.143628  0.000000
levantarlos          0.000000  0.143628  0.000000
liberado             0.000000  0.143628  0.000000
liberaron            0.000000  0.143628  0.000000
librer               0.143628  0.000000  0.000000
libros               0.143628  0.000000  0.000000
literaria            0.000000  0.143628  0.000000
literario            0.000000  0.227645  0.000000
llamar               0.000000  0.143628  0.000000
llegar               0.143628  0.000000  0.000000
llena                0.000000  0.143628  0.000000
llenaban             0.143628  0.000000  0.000000
llenas               0.143628  0.000000  0.000000
lleno                0.000000  0.143628  0.000000
llev                 0.143628  0.000000  0.000000
llorar               0.143628  0.000000  0.000000
lo                   0.000000  0.000000  0.000000
logra                0.000000  0.000000  0.143628
los                  0.000000  0.000000  0.000000
luego                0.000000  0.143628  0.000000
lugar                0.000000  0.143628  0.000000
m                    0.000000  0.000000  0.000000
ma                   0.143628  0.000000  0.000000
madre                0.227645  0.000000  0.000000
madres               0.227645  0.000000  0.000000
maestra              0.143628  0.000000  0.000000
maestras             0.143628  0.000000  0.000000
maestro              0.371273  0.000000  0.000000
mala                 0.053009  0.000000  0.053009
maldonado            0.000000  0.227645  0.000000
maliciosos           0.000000  0.143628  0.000000
mam                  0.143628  0.000000  0.000000
manera               0.000000  0.000000  0.287256
mano                 0.227645  0.000000  0.000000
manuel               0.000000  0.143628  0.000000
marchaban            0.143628  0.000000  0.000000
marzo                0.000000  0.143628  0.000000
materializa          0.000000  0.143628  0.000000
me                   0.531486  0.000000  0.000000
medicamentos         0.000000  0.143628  0.000000
medito               0.000000  0.143628  0.000000
mejor                0.000000  0.053009  0.084017
melancol             0.000000  0.143628  0.000000
mencionados          0.143628  0.000000  0.000000
menes                0.143628  0.000000  0.000000
menguado             0.000000  0.143628  0.000000
mensuales            0.143628  0.000000  0.000000
