      Texto 1   Texto 2   Texto 3
epa  0.845098  0.301030  0.301030
epe  0.301030  0.301030  0.698970
epi  0.000000  0.301030  0.000000
epo  0.301030  0.301030  0.602060
epr  0.000000  0.477121  0.698970
ept  0.000000  0.477121  0.000000
epu  0.301030  0.000000  0.301030
equ  0.602060  0.477121  0.602060
era  1.204120  1.176091  0.778151
erb  0.301030  0.000000  0.301030
erc  0.602060  0.301030  0.301030
erd  0.698970  0.301030  0.000000
ere  0.602060  0.477121  0.903090
erg  0.000000  0.000000  0.301030
eri  0.602060  0.698970  0.602060
erl  0.301030  0.301030  0.301030
erm  0.301030  0.301030  0.602060
ern  0.301030  0.477121  0.000000
ero  1.041393  0.301030  0.602060
erp  0.301030  0.000000  0.301030
erq  0.301030  0.000000  0.000000
err  0.000000  0.301030  0.000000
ers  0.000000  0.698970  0.602060
ert  0.698970  0.602060  0.301030
erz  0.301030  0.301030  0.000000
esa  0.845098  0.301030  0.477121
esc  0.845098  1.000000  0.778151
esd  0.602060  0.602060  0.778151
ese  1.000000  0.778151  0.954243
esg  0.000000  0.000000  0.301030
esi  0.698970  0.301030  0.903090
esl  0.000000  0.477121  0.477121
esm  0.602060  0.698970  0.301030
esn  0.000000  0.477121  0.000000
eso  0.778151  0.477121  0.301030
esp  0.845098  0.778151  0.698970
esq  0.602060  0.000000  0.477121
esr  0.602060  0.301030  0.301030
ess  0.301030  0.602060  0.000000
est  1.301030  1.113943  1.146128
esu  0.301030  0.477121  0.602060
esv  0.000000  0.301030  0.000000
esy  0.602060  0.698970  0.477121
eta  0.000000  0.000000  0.903090
ete  0.602060  0.845098  1.000000
eti  0.000000  0.301030  0.602060
eto  0.477121  0.000000  0.301030
etr  0.301030  0.698970  0.000000
ett  0.301030  0.000000  0.000000
etv  0.301030  0.000000  0.000000
eun  0.477121  0.698970  0.602060
eva  0.301030  0.477121  0.301030
eve  0.602060  0.000000  0.477121
evi  0.000000  0.301030  0.778151
evo  0.477121  0.301030  0.000000
exa  0.000000  0.301030  0.000000
exc  0.000000  0.301030  0.000000
exi  0.000000  0.301030  0.000000
exm  0.301030  0.000000  0.000000
exp  0.000000  0.000000  0.903090
ext  0.000000  0.778151  0.845098
eya  0.477121  0.477121  0.000000
eye  0.000000  0.477121  0.000000
eza  0.000000  0.301030  0.000000
ezc  0.301030  0.000000  0.301030
ezd  0.000000  0.301030  0.000000
eze  0.000000  0.301030  0.477121
ezp  0.301030  0.000000  0.000000
ezq  0.000000  0.301030  0.000000
ezs  0.301030  0.000000  0.000000
ezv  0.000000  0.301030  0.000000
fal  0.000000  0.301030  0.000000
fat  0.301030  0.000000  0.000000
fav  0.000000  0.301030  0.301030
fci  0.000000  0.301030  0.000000
fei  0.000000  0.301030  0.000000
fen  0.301030  0.000000  0.000000
fer  0.000000  0.000000  0.301030
fes  0.602060  0.000000  0.000000
fic  0.301030  0.000000  0.301030
fij  0.301030  0.000000  0.000000
fin  0.301030  0.477121  0.477121
fir  0.000000  0.000000  0.301030
flo  0.000000  0.301030  0.000000
for  0.000000  0.301030  0.000000
fre  0.301030  0.301030  0.301030
fro  0.000000  0.301030  0.000000
fru  0.000000  0.000000  0.477121
fue  0.477121  0.477121  0.301030
fun  0.000000  0.301030  0.000000
fut  0.000000  0.000000  0.477121
gad  0.301030  0.000000  0.000000
gae  0.000000  0.000000  0.301030
gal  0.000000  0.301030  0.301030
gan  0.301030  0.301030  0.477121
gap  0.000000  0.000000  0.301030
gaq  0.000000  0.000000  0.301030
gar  0.477121  0.301030  0.301030
gas  0.301030  0.301030  0.301030
gbe  0.000000  0.301030  0.000000
gen  0.477121  0.301030  0.000000
ges  0.000000  0.301030  0.000000
get  0.000000  0.000000  0.477121
gia  0.301030  0.000000  0.000000
gin  0.000000  0.477121  0.000000
gli  0.000000  0.000000  0.301030
glu  0.000000  0.000000  0.477121
gnc  0.000000  0.301030  0.000000
gno  0.000000  0.602060  0.000000
goa  0.301030  0.000000  0.000000
god  0.000000  0.477121  0.000000
goe  0.301030  0.000000  0.000000
gol  0.301030  0.000000  0.000000
gor  0.301030  0.000000  0.000000
got  0.000000  0.301030  0.000000
goy  0.000000  0.000000  0.301030
gra  0.477121  0.000000  0.602060
gre  0.000000  0.698970  0.602060
gri  0.301030  0.000000  0.000000
gua  0.301030  0.477121  0.301030
gue  0.301030  0.301030  0.000000
gui  0.000000  0.000000  0.477121
gum  0.000000  0.000000  0.954243
gun  0.903090  0.477121  0.301030
guo  0.602060  0.000000  0.000000
gus  0.301030  0.000000  0.000000
haa  0.000000  0.301030  0.301030
hab  0.698970  0.602060  0.000000
hac  0.301030  0.000000  0.000000
hag  0.301030  0.000000  0.000000
hap  0.000000  0.301030  0.000000
har  0.000000  0.000000  0.301030
has  0.000000  0.301030  0.477121
hat  0.000000  0.000000  0.301030
hay  0.000000  0.000000  0.301030
hea  0.301030  0.000000  0.000000
her  0.301030  0.477121  0.301030
hes  0.000000  0.477121  0.000000
hic  0.477121  0.000000  0.000000
hid  0.000000  0.000000  0.477121
hij  0.301030  0.000000  0.000000
hiq  0.301030  0.000000  0.000000
hom  0.301030  0.301030  0.000000
hon  0.000000  0.301030  0.000000
hop  0.000000  0.000000  0.301030
hor  0.602060  0.477121  0.301030
hos  0.301030  0.301030  0.301030
hpe  0.000000  0.301030  0.000000
hum  0.000000  0.602060  0.000000
iab  0.301030  0.000000  0.903090
iad  0.698970  0.301030  0.477121
ial  0.602060  0.602060  0.301030
iam  0.301030  0.000000  0.000000
ian  0.477121  0.000000  0.000000
iaq  0.000000  0.000000  0.301030
iar  0.477121  0.301030  0.000000
ias  0.301030  0.301030  0.000000
iav  0.000000  0.301030  0.000000
iay  0.000000  0.301030  0.301030
iba  0.477121  0.000000  0.000000
ibe  0.000000  0.698970  0.301030
ibi  0.301030  0.602060  0.000000
ibl  0.000000  0.301030  0.301030
ibr  0.477121  0.000000  0.000000
ibu  0.000000  0.000000  0.301030
ica  0.000000  0.845098  0.602060
ice  0.301030  0.000000  0.301030
ich  0.000000  0.000000  0.301030
ici  0.698970  0.602060  0.698970
icm  0.000000  0.000000  0.301030
ico  0.477121  0.602060  0.954243
icu  0.000000  0.301030  0.000000
ida  0.477121  0.698970  0.845098
ide  0.000000  0.301030  0.602060
idi  0.301030  0.000000  0.000000
ido  0.301030  0.698970  0.000000
idr  0.000000  0.000000  0.477121
iec  0.301030  0.000000  0.000000
ied  0.000000  0.301030  0.602060
iel  0.000000  0.000000  0.301030
iem  0.602060  0.301030  0.477121
ien  0.778151  0.698970  1.255273
ier  0.778151  0.477121  0.477121
ies  0.000000  0.301030  0.477121
iet  0.477121  0.000000  0.845098
iez  0.301030  0.000000  0.000000
ifc  0.000000  0.301030  0.000000
iga  0.301030  0.000000  0.301030
igb  0.000000  0.301030  0.000000
ign  0.000000  0.602060  0.000000
igo  0.000000  0.301030  0.000000
