      Texto 1   Texto 2   Texto 3
dul  0.000000  0.000000  0.227645
dun  0.000000  0.143628  0.000000
dur  0.053009  0.053009  0.000000
dyp  0.000000  0.000000  0.143628
eab  0.053009  0.053009  0.000000
eac  0.287256  0.000000  0.000000
ead  0.084017  0.084017  0.000000
eae  0.143628  0.000000  0.000000
eah  0.053009  0.053009  0.000000
eal  0.000000  0.137026  0.123083
eam  0.000000  0.053009  0.053009
ean  0.000000  0.143628  0.000000
eao  0.143628  0.000000  0.000000
eap  0.053009  0.000000  0.053009
eaq  0.143628  0.000000  0.000000
ear  0.000000  0.000000  0.287256
eas  0.000000  0.053009  0.084017
eat  0.227645  0.000000  0.000000
eay  0.143628  0.000000  0.000000
eaz  0.000000  0.000000  0.143628
ebe  0.000000  0.000000  0.227645
ebi  0.000000  0.053009  0.053009
ebl  0.053009  0.084017  0.000000
ebr  0.000000  0.287256  0.000000
ebu  0.000000  0.053009  0.053009
eca  0.000000  0.000000  0.000000
ecc  0.287256  0.000000  0.000000
ece  0.000000  0.000000  0.000000
ech  0.000000  0.143628  0.000000
eci  0.000000  0.000000  0.000000
ecl  0.227645  0.000000  0.000000
eco  0.000000  0.000000  0.000000
ect  0.084017  0.000000  0.053009
ecu  0.000000  0.000000  0.000000
eda  0.000000  0.053009  0.106018
ede  0.000000  0.000000  0.000000
edi  0.000000  0.000000  0.000000
edo  0.000000  0.287256  0.000000
edr  0.000000  0.143628  0.000000
eej  0.000000  0.053009  0.053009
eel  0.000000  0.000000  0.000000
een  0.000000  0.000000  0.000000
eer  0.143628  0.000000  0.000000
ees  0.000000  0.000000  0.000000
eex  0.000000  0.000000  0.227645
efe  0.143628  0.000000  0.000000
efi  0.000000  0.053009  0.053009
efr  0.000000  0.000000  0.227645
efu  0.053009  0.000000  0.084017
ega  0.053009  0.000000  0.084017
ege  0.000000  0.000000  0.227645
egi  0.000000  0.227645  0.000000
egl  0.000000  0.000000  0.143628
ego  0.000000  0.143628  0.000000
egr  0.053009  0.000000  0.084017
egu  0.084017  0.053009  0.000000
eha  0.000000  0.000000  0.000000
ehi  0.143628  0.000000  0.000000
eib  0.143628  0.000000  0.000000
eig  0.000000  0.227645  0.000000
ein  0.053009  0.000000  0.106018
eit  0.000000  0.143628  0.000000
eja  0.053009  0.000000  0.084017
eje  0.000000  0.106018  0.053009
ejo  0.000000  0.053009  0.084017
ela  0.000000  0.000000  0.000000
elb  0.053009  0.000000  0.084017
elc  0.137026  0.000000  0.084017
eld  0.000000  0.000000  0.000000
ele  0.000000  0.000000  0.000000
elg  0.227645  0.000000  0.000000
elh  0.143628  0.000000  0.000000
eli  0.000000  0.143628  0.000000
ell  0.000000  0.000000  0.000000
elm  0.000000  0.000000  0.000000
eln  0.000000  0.000000  0.143628
elo  0.000000  0.000000  0.000000
elp  0.000000  0.000000  0.000000
elr  0.000000  0.227645  0.000000
els  0.000000  0.053009  0.106018
elt  0.000000  0.000000  0.000000
elv  0.084017  0.053009  0.000000
ema  0.000000  0.000000  0.000000
emb  0.084017  0.053009  0.000000
eme  0.000000  0.000000  0.000000
emi  0.123083  0.053009  0.000000
emo  0.053009  0.053009  0.000000
emp  0.000000  0.000000  0.000000
ems  0.000000  0.000000  0.143628
emt  0.000000  0.000000  0.143628
emu  0.053009  0.000000  0.053009
emx  0.000000  0.143628  0.000000
ena  0.000000  0.000000  0.000000
enc  0.000000  0.000000  0.000000
end  0.000000  0.000000  0.000000
ene  0.000000  0.000000  0.000000
enf  0.000000  0.000000  0.227645
eng  0.000000  0.000000  0.000000
eni  0.000000  0.143628  0.000000
enl  0.000000  0.000000  0.000000
enm  0.053009  0.000000  0.053009
eno  0.000000  0.000000  0.000000
enp  0.000000  0.053009  0.084017
enq  0.000000  0.143628  0.000000
enr  0.106018  0.000000  0.053009
ens  0.000000  0.000000  0.000000
ent  0.000000  0.000000  0.000000
enu  0.053009  0.000000  0.106018
eny  0.000000  0.000000  0.143628
eod  0.053009  0.053009  0.000000
eol  0.143628  0.000000  0.000000
eon  0.000000  0.000000  0.143628
eor  0.143628  0.000000  0.000000
eos  0.000000  0.053009  0.053009
eot  0.143628  0.000000  0.000000
epa  0.000000  0.000000  0.000000
epe  0.000000  0.000000  0.000000
epi  0.000000  0.143628  0.000000
epo  0.000000  0.000000  0.000000
epr  0.000000  0.084017  0.123083
ept  0.000000  0.227645  0.000000
epu  0.053009  0.000000  0.053009
equ  0.000000  0.000000  0.000000
era  0.000000  0.000000  0.000000
erb  0.053009  0.000000  0.053009
erc  0.000000  0.000000  0.000000
erd  0.123083  0.053009  0.000000
ere  0.000000  0.000000  0.000000
erg  0.000000  0.000000  0.143628
eri  0.000000  0.000000  0.000000
erl  0.000000  0.000000  0.000000
erm  0.000000  0.000000  0.000000
ern  0.053009  0.084017  0.000000
ero  0.000000  0.000000  0.000000
erp  0.053009  0.000000  0.053009
erq  0.143628  0.000000  0.000000
err  0.000000  0.143628  0.000000
ers  0.000000  0.123083  0.106018
ert  0.000000  0.000000  0.000000
erz  0.053009  0.053009  0.000000
esa  0.000000  0.000000  0.000000
esc  0.000000  0.000000  0.000000
esd  0.000000  0.000000  0.000000
ese  0.000000  0.000000  0.000000
esg  0.000000  0.000000  0.143628
esi  0.000000  0.000000  0.000000
esl  0.000000  0.084017  0.084017
esm  0.000000  0.000000  0.000000
esn  0.000000  0.227645  0.000000
eso  0.000000  0.000000  0.000000
esp  0.000000  0.000000  0.000000
esq  0.106018  0.000000  0.084017
esr  0.000000  0.000000  0.000000
ess  0.053009  0.106018  0.000000
est  0.000000  0.000000  0.000000
esu  0.000000  0.000000  0.000000
esv  0.000000  0.143628  0.000000
esy  0.000000  0.000000  0.000000
eta  0.000000  0.000000  0.430883
ete  0.000000  0.000000  0.000000
eti  0.000000  0.053009  0.106018
eto  0.084017  0.000000  0.053009
etr  0.053009  0.123083  0.000000
ett  0.143628  0.000000  0.000000
etv  0.143628  0.000000  0.000000
eun  0.000000  0.000000  0.000000
eva  0.000000  0.000000  0.000000
eve  0.106018  0.000000  0.084017
evi  0.000000  0.053009  0.137026
evo  0.084017  0.053009  0.000000
exa  0.000000  0.143628  0.000000
exc  0.000000  0.143628  0.000000
exi  0.000000  0.143628  0.000000
exm  0.143628  0.000000  0.000000
exp  0.000000  0.000000  0.430883
ext  0.000000  0.137026  0.148814
eya  0.084017  0.084017  0.000000
eye  0.000000  0.227645  0.000000
eza  0.000000  0.143628  0.000000
ezc  0.053009  0.000000  0.053009
ezd  0.000000  0.143628  0.000000
eze  0.000000  0.053009  0.084017
ezp  0.143628  0.000000  0.000000
ezq  0.000000  0.143628  0.000000
ezs  0.143628  0.000000  0.000000
ezv  0.000000  0.143628  0.000000
fal  0.000000  0.143628  0.000000
fat  0.143628  0.000000  0.000000
fav  0.000000  0.053009  0.053009
fci  0.000000  0.143628  0.000000
fei  0.000000  0.143628  0.000000
fen  0.143628  0.000000  0.000000
fer  0.000000  0.000000  0.143628
fes  0.287256  0.000000  0.000000
fic  0.053009  0.000000  0.053009
fij  0.143628  0.000000  0.000000
fin  0.000000  0.000000  0.000000
fir  0.000000  0.000000  0.143628
flo  0.000000  0.143628  0.000000
for  0.000000  0.143628  0.000000
fre  0.000000  0.000000  0.000000
fro  0.000000  0.143628  0.000000
fru  0.000000  0.000000  0.227645
fue  0.000000  0.000000  0.000000
fun  0.000000  0.143628  0.000000
fut  0.000000  0.000000  0.227645
gad  0.143628  0.000000  0.000000
gae  0.000000  0.000000  0.143628
gal  0.000000  0.053009  0.053009
gan  0.000000  0.000000  0.000000
gap  0.000000  0.000000  0.143628
gaq  0.000000  0.000000  0.143628
gar  0.000000  0.000000  0.000000
gas  0.000000  0.000000  0.000000
gbe  0.000000  0.143628  0.000000
gen  0.084017  0.053009  0.000000
ges  0.000000  0.143628  0.000000
get  0.000000  0.000000  0.227645
gia  0.143628  0.000000  0.000000
gin  0.000000  0.227645  0.000000
gli  0.000000  0.000000  0.143628
glu  0.000000  0.000000  0.227645
gnc  0.000000  0.143628  0.000000
gno  0.000000  0.287256  0.000000
goa  0.143628  0.000000  0.000000
god  0.000000  0.227645  0.000000
goe  0.143628  0.000000  0.000000
gol  0.143628  0.000000  0.000000
gor  0.143628  0.000000  0.000000
got  0.000000  0.143628  0.000000
goy  0.000000  0.000000  0.143628
gra  0.084017  0.000000  0.106018
gre  0.000000  0.123083  0.106018
gri  0.143628  0.000000  0.000000
gua  0.000000  0.000000  0.000000
gue  0.053009  0.053009  0.000000
gui  0.000000  0.000000  0.227645
gum  0.000000  0.000000  0.455289
gun  0.000000  0.000000  0.000000
guo  0.287256  0.000000  0.000000
gus  0.143628  0.000000  0.000000
haa  0.000000  0.053009  0.053009
hab  0.123083  0.106018  0.000000
hac  0.143628  0.000000  0.000000
hag  0.143628  0.000000  0.000000
hap  0.000000  0.143628  0.000000
har  0.000000  0.000000  0.143628
